iter	Passed	Remaining
1381	94521	42267
1382	94595	42202
1383	94657	42130
1384	94722	42060
1385	94784	41989
1386	94839	41915
1387	94899	41843
1388	94959	41771
1389	95015	41697
1390	95076	41625
1391	95135	41553
1392	95192	41480
1393	95258	41410
1394	95317	41338
1395	95378	41266
1396	95441	41196
1397	95503	41125
1398	95564	41053
1399	95619	40979
1400	95679	40907
1401	95745	40838
1402	95806	40767
1403	95869	40696
1404	95931	40625
1405	95999	40557
1406	96074	40492
1407	96141	40422
1408	96207	40353
1409	96273	40284
1410	96333	40213
1411	96399	40143
1412	96459	40072
1413	96523	40001
1414	96589	39932
1415	96653	39862
1416	96725	39795
1417	96794	39728
1418	96862	39659
1419	96925	39589
1420	96987	39518
1421	97051	39448
1422	97115	39378
1423	97183	39310
1424	97250	39241
1425	97311	39170
1426	97370	39098
1427	97428	39025
1428	97489	38954
1429	97549	38883
1430	97610	38812
1431	97671	38741
1432	97730	38669
1433	97794	38599
1434	97856	38528
1435	97916	38457
1436	97976	38385
1437	98034	38313
1438	98092	38241
1439	98153	38170
1440	98216	38100
1441	98273	38028
1442	98331	37956
1443	98395	37886
1444	98452	37814
1445	98528	37748
1446	98586	37676
1447	98650	37606
1448	98711	37536
1449	98773	37465
1450	98847	37399
1451	98916	37332
1452	98974	37260
1453	99042	37191
1454	99100	37120
1455	99160	37049
1456	99226	36980
1457	99304	36915
1458	99360	36843
1459	99430	36775
1460	99489	36704
1461	99562	36637
1462	99624	36567
1463	99684	36496
1464	99745	36425
1465	99811	36356
1466	99872	36286
1467	99930	36214
1468	99989	36143
1469	100049	36072
1470	100109	36001
1471	100171	35931
1472	100225	35858
1473	100288	35788
1474	100345	35716
1475	100403	35644
1476	100462	35573
1477	100529	35505
1478	100593	35435
1479	100654	35365
1480	100717	35295
1481	100784	35226
1482	100849	35157
1483	100919	35090
1484	100985	35022
1485	101045	34951
1486	101111	34882
1487	101163	34809
1488	101219	34736
1489	101278	34665
1490	101342	34596
1491	101409	34528
1492	101477	34460
1493	101553	34395
1494	101615	34324
1495	101675	34254
1496	101737	34184
1497	101802	34115
1498	101865	34045
1499	101927	33975
1500	101997	33908
1501	102058	33838
1502	102125	33769
1503	102190	33701
1504	102255	33632
1505	102322	33564
1506	102416	33504
1507	102482	33436
1508	102549	33367
1509	102609	33296
1510	102675	33228
1511	102737	33158
1512	102798	33088
1513	102863	33019
1514	102925	32949
1515	102989	32880
1516	103052	32811
1517	103114	32741
1518	103174	32670
1519	103240	32602
1520	103301	32532
1521	103365	32462
1522	103427	32393
1523	103488	32323
1524	103564	32257
1525	103626	32187
1526	103719	32127
1527	103794	32062
1528	103860	31993
1529	103923	31924
1530	103984	31854
1531	104050	31785
1532	104112	31715
1533	104189	31650
1534	104253	31581
1535	104312	31510
1536	104392	31446
1537	104456	31377
1538	104520	31308
1539	104585	31239
1540	104643	31168
1541	104707	31099
1542	104779	31033
1543	104848	30965
1544	104916	30897
1545	104981	30828
1546	105045	30759
1547	105112	30691
1548	105177	30622
1549	105245	30555
1550	105327	30491
1551	105397	30424
1552	105464	30355
1553	105532	30287
1554	105601	30220
1555	105680	30155
1556	105746	30087
1557	105821	30021
1558	105887	29952
1559	105959	29886
1560	106030	29818
1561	106097	29750
1562	106163	29682
1563	106244	29618
1564	106332	29555
1565	106397	29486
1566	106466	29419
1567	106528	29349
1568	106592	29280
1569	106656	29211
1570	106719	29142
1571	106788	29074
1572	106856	29006
1573	106924	28938
1574	106989	28870
1575	107052	28801
1576	107118	28732
1577	107180	28663
1578	107249	28595
1579	107316	28527
